CarParkID,CarParkName,TotalSpaces,AvailableSpaces,Availabilities,ServiceStatus,FullStatus,ChargeStatus,DataCollectTime
13124285+15017,{'Zh_tw': '明禮路停車場'},106,0,"[{'SpaceType': 1, 'NumberOfSpaces': 106, 'AvailableSpaces': 0}]",1,0,1,2022-02-15T13:48:30+08:00
37993678+15018,{'Zh_tw': '彪吉利停車場(國聯五路站)'},40,19,"[{'SpaceType': 1, 'NumberOfSpaces': 40, 'AvailableSpaces': 19}]",1,0,1,2022-02-15T13:48:30+08:00
37993678+15019,{'Zh_tw': '前站停車場(檳榔攤)'},46,33,"[{'SpaceType': 1, 'NumberOfSpaces': 46, 'AvailableSpaces': 33}]",1,0,1,2022-02-15T13:48:30+08:00
80118614+15020,{'Zh_tw': '後火車站機車停車場'},340,159,"[{'SpaceType': 1, 'NumberOfSpaces': 340, 'AvailableSpaces': 159}]",1,0,1,2022-02-15T13:48:30+08:00
37993678+15021,{'Zh_tw': '彪吉利(花蓮停四)機車停車場'},495,225,"[{'SpaceType': 1, 'NumberOfSpaces': 495, 'AvailableSpaces': 225}]",1,0,1,2022-02-15T13:48:30+08:00
80738683+15022,{'Zh_tw': '花蓮醫院停車場(有3層樓)'},50,25,"[{'SpaceType': 1, 'NumberOfSpaces': 50, 'AvailableSpaces': 25}]",1,0,1,2022-02-15T13:48:30+08:00
94607424+15023,{'Zh_tw': '財團法人臺灣基督教門諾會醫院(00:30~06:30非營業時間)'},235,156,"[{'SpaceType': 1, 'NumberOfSpaces': 235, 'AvailableSpaces': 156}]",1,0,1,2022-02-15T13:48:30+08:00
42958475+15024,{'Zh_tw': '建程停車場'},121,67,"[{'SpaceType': 1, 'NumberOfSpaces': 121, 'AvailableSpaces': 67}]",1,0,1,2022-02-15T13:48:30+08:00
87344137+15025,{'Zh_tw': '停好車停車場'},37,36,"[{'SpaceType': 1, 'NumberOfSpaces': 37, 'AvailableSpaces': 36}]",1,0,1,2022-02-15T13:48:30+08:00
85056975+15026,{'Zh_tw': '東芥東大門停車場'},161,153,"[{'SpaceType': 1, 'NumberOfSpaces': 161, 'AvailableSpaces': 153}]",1,0,1,2022-02-15T13:48:30+08:00
97329493+15028,{'Zh_tw': '東大門三場'},83,69,"[{'SpaceType': 1, 'NumberOfSpaces': 83, 'AvailableSpaces': 69}]",1,0,1,2022-02-15T13:48:30+08:00
90831316+15030,{'Zh_tw': '統冠重慶站停車場'},49,10,"[{'SpaceType': 1, 'NumberOfSpaces': 49, 'AvailableSpaces': 10}]",1,0,1,2022-02-15T13:48:30+08:00
